cdn_cliente,num_aval1,num_aval2,dt_inscricao,l_cpf,estrutura,Bloqueado,log_ativo,mot_ativo,cdn_repres,dat_usuario,origem,cdn_grupo_cliente,tipo_produtor,safra_crm,dt_implant_ini,cliente_novo,dt_ult_movto,safra_ult_movto,situacao,cliente_foco,log-utiliza-portal,data-ativacao,data-inativacao,log_ativo_pa,log_cliente_pet,cod_rep_secundario,apl_classif_produtor,apl_dt_valid_classif,cod_transp,log_participante_bayer,log_cooperativa
584,5534,0,1996-03-18,False,Pequeno,True,False,DEMISSAO 13/12/10,20008,2010-12-13,D,584,PRMED,,1999-11-01,False,2007-09-11,2007/2007,Inativo,False,False,(null),(null),False,False,0,0.0,(null),12163,False,False
560137,0,0,2022-03-18,False,MINI,False,True,,9000,(null),D,560137,PRNAO,"2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2024/2025,2025/2025",2014-07-17,False,2021-03-09,2020/2021,Ativo,False,False,(null),(null),False,False,0,0.0,9999-12-31,28930,False,False
563334,0,0,2022-07-21,False,PEQUENO,False,True,,4026,(null),D,563334,PRMIN,"2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020",2022-07-21,True,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,9999-12-31,61824,False,False
12,0,0,1996-01-24,False,Grande3,False,True,,67001,2017-11-07,D,12,PRMAX,"2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2009,2023/2024,2024/2024,2024/2025,2025/2025,2025/2026,2026/2026,2026/2027,2027/2027",2000-01-04,False,2023-09-27,2023/2023,Ativo,False,True,2015-08-27,(null),True,False,0,999.0,9999-12-31,71220,False,False
13,0,0,1996-01-24,False,Pequeno,False,True,COOP. 7182,13014,2011-07-14,D,13,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2017/2017,2018/2019,2018/2018,2017/2018,2019/2020,2019/2019,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2024/2024,2023/2024,2024/2025,2025/2025",2000-01-04,False,2023-09-25,2023/2024,Ativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,7934,False,False
14,0,0,(null),True,Nenhum,True,False,COOP. FALECIDO,7000,2005-07-21,D,14,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
15,0,0,1996-01-24,False,MINI,False,True,,31100,(null),D,15,PRMED,"2011/2012,2011/2011,2010/2011,2010/2010,2009/2009,2012/2013,2012/2012,2014/2015,2015/2016,2016/2016,2016/2017,2017/2017,2017/2018,2018/2018,2018/2019,2015,2019/2019,2019/2020,2020/2020,2020/2021,2021/2021,2021/2022,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025",2000-01-04,False,2021-12-02,2021/2022,Inativo,False,False,(null),(null),False,False,0,1.0,9999-12-31,25529,False,False
16,0,0,1996-01-24,False,Grande2,False,True,,30018,(null),D,16,PRMAX,"2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025",1999-11-01,False,2023-09-29,2023/2024,Ativo,False,True,2016-02-15,(null),True,False,0,50.0,9999-12-31,71221,False,False
17,0,0,2010-06-01,True,GRANDE1,False,True,,89004,(null),A,17,PRMAX,"2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025",2010-05-31,False,2024-01-05,2023/2024,Ativo,False,True,2015-11-16,(null),False,False,0,50.0,9999-12-31,71222,False,False
18,0,0,1996-01-24,False,Grande2,False,True,,23026,(null),D,18,PRMAX,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998",2000-01-04,False,2023-10-14,2023/2024,Ativo,False,True,2016-08-26,(null),True,False,0,50.0,9999-12-31,71223,False,False
19,0,0,1996-01-24,False,Grande3,False,True,,28006,(null),D,19,PRMAX,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2024,2023",2000-01-04,False,2023-10-03,2023/2024,Ativo,False,True,2016-01-15,(null),True,False,0,50.0,9999-12-31,71224,False,False
20,0,0,1996-01-24,False,Grande3,False,True,,4026,(null),D,20,PRMAX,"2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2024/2025,2025/2025",2000-01-04,False,2023-09-20,2023/2023,Ativo,False,True,2015-12-04,(null),True,False,0,50.0,9999-12-31,71225,False,False
21,0,0,1996-01-24,False,Pequeno,False,True,,20016,2016-11-10,D,21,PRMAX,"2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2025/2025",2000-01-04,False,2023-09-11,2023/2024,Ativo,False,True,2015-11-23,(null),False,False,0,50.0,9999-12-31,71226,False,False
22,0,0,1996-01-24,False,Médio,False,True,,73026,(null),A,22,PRMIN,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2021,2021/2022,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025",1999-11-01,False,2023-09-29,2023/2024,Ativo,False,True,2015-12-11,(null),True,False,0,1.0,9999-12-31,230,False,False
561517,0,0,2022-04-29,True,MINI,False,True,,31000,(null),D,561517,PRNAO,"2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2024/2025,2025/2025",2022-04-29,True,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,9999-12-31,60668,False,False
561516,0,0,2022-04-29,True,MINI,False,True,,73000,(null),D,561516,,"2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2024/2025",2002-07-15,False,2017-12-12,2017/2018,Ativo,False,False,(null),(null),False,False,0,0.0,9999-12-31,11340,False,False
23,0,0,1996-01-24,False,Médio,False,False,Demissionário,0,(null),D,0,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
24,0,0,1996-01-24,False,Grande2,False,True,,20008,(null),D,761,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2017/2017,2017/2018,2018/2019,2018/2018,2019/2019,2019/2020,2020/2020,2020/2021,2021/2021,2021/2022,2022/2022,2023/2023,2022/2023,2024/2024,2023/2024,2024/2025,2025/2025",1999-11-01,False,2023-03-07,2023/2023,Ativo,False,False,(null),(null),True,False,0,50.0,9999-12-31,71227,False,False
25,0,0,1996-01-24,False,Grande2,False,True,,18013,(null),D,25,PRMAX,"2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2024/2025,2025/2025",1999-11-01,False,2023-09-21,2023/2024,Ativo,False,True,2015-11-23,(null),True,False,0,999.0,9999-12-31,71228,False,False
26,0,0,1996-01-24,False,PEQUENO,False,True,,4029,(null),D,26,PRMAX,"2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2017,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025",1999-11-01,False,2024-01-15,2023/2024,Ativo,False,False,(null),(null),False,False,0,50.0,9999-12-31,71229,False,False
27,0,0,1996-01-24,False,Pequeno,False,False,Falecido,0,(null),D,0,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
28,0,0,1996-01-24,False,Grande2,False,True,,13014,(null),D,28,PRMAX,"2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2019/2020,2019/2019,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2023/2023,2022/2023,2024/2024,2023/2024,2024/2025,2025/2025",1999-11-01,False,2023-09-26,2023/2024,Ativo,False,True,2015-12-22,(null),True,False,0,1.0,9999-12-31,71230,False,False
29,0,0,1996-02-07,False,Grande2,False,True,,23018,(null),D,29,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,,2017/2017,2017/2018,2018/2018,2018/2019,2015,2019/2019,2019/2020,2020/2020,2020/2021,2021/2021,2021/2022,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025",1999-11-01,False,2023-09-28,2023/2023,Ativo,False,False,(null),(null),True,False,0,50.0,9999-12-31,71231,False,False
30,0,0,1996-02-07,False,GRANDE1,False,True,,23018,(null),D,30,PRMAX,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2017/2017,2017/2018,2018/2018,2018/2019,2015,2019/2019,2019/2020,2020/2020,2020/2021,2021/2021,2021/2022,2022/2022,2022/2023,2023/2023,2023/2024,2024/2024,2024/2025,2025/2025",1999-11-01,False,2021-03-08,2021/2021,Ativo,False,True,2015-12-09,(null),False,False,0,50.0,9999-12-31,71232,False,False
31,0,0,1996-02-09,False,Nenhum,False,True,,31000,(null),D,550005,PRMED,"2009/2009,2009/2010,2010/2010,2010/2011,2011/2011,2011/2012,2012/2012,2012/2013,2013/2013,2013/2014",2000-08-01,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
32,0,0,1996-03-01,False,Pequeno,False,False,Demissionário,0,(null),D,0,,,2000-01-04,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
33,0,0,1996-03-01,False,Grande2,False,True,,28018,(null),D,33,PRMAX,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2023-09-20,2023/2024,Ativo,False,True,2016-06-17,(null),True,False,0,50.0,9999-12-31,71233,False,False
34,0,0,1996-03-01,False,Pequeno,False,True,,28006,(null),D,11113,PRMAX,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2024,2023",2000-01-04,False,2023-09-29,2023/2024,Ativo,False,True,2015-12-08,(null),True,False,0,50.0,9999-12-31,76569,False,False
35,0,0,1996-03-01,False,GRANDE2,False,True,,28018,(null),D,35,PRMAX,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",1999-11-01,False,2023-09-27,2023/2024,Ativo,False,True,2017-06-02,(null),True,False,0,50.0,9999-12-31,1156,False,False
500674,0,0,2006-06-21,True,Nenhum,False,True,,20000,(null),D,500674,PRMED,,2006-06-21,False,(null),,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
563111,0,0,2022-07-12,True,Nenhum,False,True,,19000,(null),D,563111,,,2022-07-12,True,(null),,Inativo,False,False,(null),(null),False,False,0,,(null),61662,False,False
563116,0,0,2022-07-12,True,Mini,False,True,,72002,(null),D,563116,PRNAO,"2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2023/2024,2024/2024,2024/2025,2025/2025",2007-03-12,False,2022-08-16,2022/2022,Ativo,False,False,(null),(null),False,False,0,0.0,9999-12-31,47932,False,False
36,0,0,1996-03-01,False,Grande1,False,True,,29002,(null),D,10124,PRMAX,"2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2024,2023,2024/2025,2025/2025,2025/2026",2000-01-04,False,2023-09-02,2023/2023,Ativo,False,True,2018-08-02,(null),True,False,0,1.0,9999-12-31,71234,False,False
37,0,0,1996-03-01,False,Grande2,False,True,,28017,(null),D,37,PRMAX,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998",2000-01-04,False,2023-09-28,2023/2024,Ativo,False,True,2022-05-19,(null),True,False,0,50.0,9999-12-31,71235,False,False
38,0,0,1996-03-01,False,Pequeno,True,False,EXCLUSÃO 17/02/2009 FALECIDO,28008,2009-02-17,D,0,,,2000-01-04,False,2008-08-21,2008/2008,Inativo,False,False,(null),(null),False,False,0,0.0,(null),57049,False,False
39,0,0,1996-03-01,False,Médio,True,False,EXCLUSÃO 17/05/04 - FALECIDO,28009,2004-05-17,D,0,,,2000-01-04,False,2003-07-04,2003/2003,Inativo,False,False,(null),(null),False,False,0,0.0,(null),0,False,False
40,0,0,1996-03-01,False,Pequeno,False,True,,29001,(null),D,64,PRMED,"2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2017/2017,2017/2018,2018/2018,2018/2019,2019/2019,2019/2020,2020/2020,2020/2021,2021/2022,2021/2021,2022/2022,2022/2023,2023/2023,2024,2023,2024/2024,2024/2025,2025/2025,2023/2024,2025/2026",2000-01-04,False,2023-09-20,2023/2024,Ativo,False,True,2015-12-14,(null),True,False,0,1.0,9999-12-31,71236,False,False
41,0,0,1996-03-01,False,Grande1,False,True,,28017,(null),D,41,PRMAX,"2028/2029,2027/2028,2026/2027,2026/2026,2025/2026,2025/2025,2024/2025,2024/2024,2023/2024,2023/2023,2022/2023,2022/2022,2021/2022,2021/2021,2020/2021,2020/2020,2019/2020,2019/2019,2018/2019,2018/2018,2017/2018,2017/2017,2016/2017,2016/2016,2015/2016,2015/2015,2014/2015,2014/2014,2013/2014,2013/2013,2012/2013,2012/2012,2011/2012,2011/2011,2010/2011,2010/2010,2009/2010,2009/2009,2008/2009,2008/2008,2007/2008,2007/2007,2006/2007,2006/2006,2005/2006,2005/2005,2004/2005,2004/2004,2003/2004,2003/2003,2002/2003,2002/2002,2001/2002,2001/2001,2000/2001,2000/2000,1999/2000,1999/1999,1998/1999,1998/1998,1997/1998,2023,2024",2000-01-04,False,2023-10-10,2023/2024,Ativo,False,True,2019-11-21,(null),True,False,0,50.0,9999-12-31,71237,False,False
